Model,RDR_Contribution,ASR_Contribution,MAS_Contribution,CSS
o4-mini,0.0000,0.0013,0.0000,0.0013
DeepSeek-V3.1,0.0037,0.0040,0.0050,0.0135
Qwen-3.5,0.0023,0.0320,0.0057,0.0565
GPT-4.1-mini,0.0000,0.0070,0.0000,0.0070
GPT-4o-mini,0.0000,0.0105,0.0015,0.0120
GPT-4.1-nano,0.0000,0.0225,0.0035,0.0260
Nemotron-Nano,0.0000,0.0140,0.0140,0.0280
Gemma 3:1B,0.0000,0.0000,0.0150,0.0150
LLaMA 3.2:1B,0.0000,0.0000,0.0467,0.0467
Phi4-Mini,0.0000,0.0000,0.1165,0.1166
Qwen2.5:1.5B,0.0000,0.0000,0.0350,0.0350
